name,rating,genre,score,director,writer,star,runtime
Ghostbusters,PG,Action,7.8,Ivan Reitman,Dan Aykroyd,Bill Murray,105
Ghostbusters,PG-13,Action,6.7,Paul Feig,Katie Dippold,Melissa McCarthy,117
Ghostbusters II,PG,Action,6.6,Ivan Reitman,Dan Aykroyd,Bill Murray,108
Ghosts of Girlfriends Past,PG-13,Comedy,5.8,Mark Waters,Jon Lucas,Matthew McConaughey,100
Ghosts of Mars,R,Action,4.9,John Carpenter,Larry Sulkis,Natasha Henstridge,98
Ghosts of Mississippi,PG-13,Drama,6.7,Rob Reiner,Lewis Colick,Alec Baldwin,130
Ghoulies,PG-13,Comedy,4.2,Luca Bercovici,Luca Bercovici,Peter Liapis,81
Gifted,PG-13,Drama,7.6,Marc Webb,Tom Flynn,Chris Evans,101
Gigli,R,Comedy,2.5,Martin Brest,Martin Brest,Ben Affleck,121
Gilda Live,R,Comedy,6.8,Mike Nichols,Anne Beatts,Gilda Radner,96
Ginger & Rosa,PG-13,Drama,6.3,Sally Potter,Sally Potter,Elle Fanning,90
Ginger and Fred,PG-13,Comedy,7.3,Federico Fellini,Federico Fellini,Marcello Mastroianni,125
Ginger Snaps,Unrated,Drama,6.8,John Fawcett,Karen Walton,Emily Perkins,108
Girl 6,R,Comedy,5.2,Spike Lee,Suzan-Lori Parks,Theresa Randle,108
Girl with a Pearl Earring,PG-13,Biography,6.9,Peter Webber,Tracy Chevalier,Scarlett Johansson,100
"Girl, Interrupted",R,Biography,7.3,James Mangold,Susanna Kaysen,Winona Ryder,127
Girlfight,R,Drama,6.8,Karyn Kusama,Karyn Kusama,Michelle Rodriguez,110
Girls Just Want to Have Fun,PG,Comedy,6,Alan Metter,Amy Spies,Biff Yeager,90
Girls Trip,R,Adventure,6.2,Malcolm D. Lee,Erica Rivinoja,Regina Hall,122
Give Me Liberty,Unrated,Comedy,6.7,Kirill Mikhanovsky,Alice Austen,Chris Galust,110
Give My Regards to Broad Street,PG,Drama,5.2,Peter Webb,Paul McCartney,Paul McCartney,108
Gladiator,R,Action,6.5,Rowdy Herrington,Djordje Milicevic,James Marshall,101
Gladiator,R,Action,8.5,Ridley Scott,David Franzoni,Russell Crowe,155
Glass,PG-13,Drama,6.6,M. Night Shyamalan,M. Night Shyamalan,James McAvoy,129
Gleaming the Cube,PG-13,Action,6.3,Graeme Clifford,Michael Tolkin,Christian Slater,105
Glengarry Glen Ross,R,Crime,7.7,James Foley,David Mamet,Al Pacino,100
Glitter,PG-13,Drama,2.3,Vondie Curtis-Hall,Cheryl L. West,Mariah Carey,104
Gloria,R,Crime,5.2,Sidney Lumet,John Cassavetes,Sharon Stone,108
Gloria Bell,R,Comedy,6.3,Sebastián Lelio,Alice Johnson Boher,Julianne Moore,102
Glory,R,Biography,7.8,Edward Zwick,Kevin Jarre,Matthew Broderick,122
Glory Road,PG,Biography,7.2,James Gartner,Christopher Cleveland,Josh Lucas,118
Gnomeo & Juliet,G,Animation,5.9,Kelly Asbury,Rob Sprackling,James McAvoy,84
Go,R,Comedy,7.2,Doug Liman,John August,Sarah Polley,102
Goal! The Dream Begins,PG,Adventure,6.7,Danny Cannon,Mike Jefferies,Kuno Becker,118
Goat,R,Drama,5.7,Andrew Neel,David Gordon Green,Ben Schnetzer,96
Godard Mon Amour,R,Biography,6.6,Michel Hazanavicius,Michel Hazanavicius,Louis Garrel,107
Gods and Generals,PG-13,Biography,6.3,Ron Maxwell,Jeff Shaara,Stephen Lang,219
Gods and Monsters,R,Biography,7.4,Bill Condon,Christopher Bram,Ian McKellen,105
God's Not Dead,PG,Drama,4.7,Harold Cronk,Hunter Dennis,Shane Harper,113
Gods of Egypt,PG-13,Action,5.4,Alex Proyas,Matt Sazama,Brenton Thwaites,127
God's Own Country,Unrated,Drama,7.7,Francis Lee,Francis Lee,Josh O'Connor,104
Godzilla,PG-13,Action,5.4,Roland Emmerich,Dean Devlin,Matthew Broderick,139
Godzilla,PG-13,Action,6.4,Gareth Edwards,Ishirô Honda,Aaron Taylor-Johnson,123
Godzilla 1985,PG,Action,6.2,Directors,Reuben Bercovitch,Raymond Burr,87
Godzilla 2000: Millennium,PG,Action,6.1,Takao Okawara,Hiroshi Kashiwabara,Takehiro Murata,99
Godzilla: King of the Monsters,PG-13,Action,6,Michael Dougherty,Michael Dougherty,Kyle Chandler,132
Going All the Way,R,Comedy,5.7,Mark Pellington,Dan Wakefield,Jeremy Davies,103
Going Berserk,R,Comedy,5.2,David Steinberg,Dana Olsen,John Candy,85
Going in Style,PG-13,Comedy,6.6,Zach Braff,Theodore Melfi,Michael Caine,96
Going the Distance,R,Comedy,6.3,Nanette Burstein,Geoff LaTulippe,Drew Barrymore,102
Gold,R,Crime,6.7,Stephen Gaghan,Patrick Massett,Matthew McConaughey,120
Gold Diggers: The Secret of Bear Mountain,PG,Adventure,6,Kevin James Dobson,Barry Glasser,Christina Ricci,93
GoldenEye,PG-13,Action,7.2,Martin Campbell,Ian Fleming,Pierce Brosnan,130
Goldstone,R,Crime,6.5,Ivan Sen,Ivan Sen,Aaron Pedersen,110
Gomorrah,Unrated,Crime,7,Matteo Garrone,Roberto Saviano,Gianfelice Imparato,137
Gone,PG-13,Action,5.9,Heitor Dhalia,Allison Burnett,Amanda Seyfried,94
Gone Baby Gone,R,Crime,7.6,Ben Affleck,Ben Affleck,Morgan Freeman,114
Gone Fishin',PG,Comedy,4.8,Christopher Cain,Jill Mazursky,Joe Pesci,94
Gone Girl,R,Drama,8.1,David Fincher,Gillian Flynn,Ben Affleck,149
Gone in 60 Seconds,PG-13,Action,6.5,Dominic Sena,H.B. Halicki,Nicolas Cage,118
Good Boy,PG,Comedy,5.1,John Hoffman,Zeke Richardson,Liam Aiken,87
Good Boys,R,Adventure,6.7,Gene Stupnitsky,Lee Eisenberg,Jacob Tremblay,90
Good Burger,PG,Comedy,5.7,Brian Robbins,Dan Schneider,Kel Mitchell,95
Good Bye Lenin!,R,Comedy,7.7,Wolfgang Becker,Bernd Lichtenberg,Daniel Brühl,121
Good Luck Chuck,R,Comedy,5.6,Mark Helfrich,Josh Stolberg,Dane Cook,96
"Good Morning, Vietnam",R,Biography,7.3,Barry Levinson,Mitch Markowitz,Robin Williams,121
"Good Night, and Good Luck.",PG,Biography,7.4,George Clooney,George Clooney,David Strathairn,93
Good Time,R,Crime,7.4,Benny Safdie,Ronald Bronstein,Robert Pattinson,102
Good Will Hunting,R,Drama,8.3,Gus Van Sant,Matt Damon,Robin Williams,126
Goodbye Christopher Robin,PG,Biography,7.1,Simon Curtis,Frank Cottrell Boyce,Domhnall Gleeson,107
Goodfellas,R,Biography,8.7,Martin Scorsese,Nicholas Pileggi,Robert De Niro,146
Goodnight Mommy,R,Horror,6.7,Severin Fiala,Veronika Franz,Lukas Schwarz,99
Gook,Unrated,Drama,7,Justin Chon,Justin Chon,Simone Baker,94
Goon,R,Comedy,6.8,Michael Dowse,Jay Baruchel,Seann William Scott,92
Goosebumps,PG,Adventure,6.3,Rob Letterman,Darren Lemke,Jack Black,103
Goosebumps 2: Haunted Halloween,PG,Animation,5.6,Ari Sandel,Rob Lieber,Wendi McLendon-Covey,90
Gorillas in the Mist,PG-13,Biography,7,Michael Apted,Harold T.P. Hayes,Sigourney Weaver,129
Gorky Park,R,Crime,6.7,Michael Apted,Martin Cruz Smith,William Hurt,128
Gosford Park,R,Comedy,7.2,Robert Altman,Julian Fellowes,Maggie Smith,131
Gossip,R,Drama,5.9,Davis Guggenheim,Gregory Poirier,James Marsden,90
Gotcha!,PG-13,Action,6.2,Jeff Kanew,Paul G. Hensler,Anthony Edwards,101
Gothic,R,Drama,5.7,Ken Russell,Stephen Volk,Gabriel Byrne,87
Gothika,R,Horror,5.8,Mathieu Kassovitz,Sebastian Gutierrez,Halle Berry,98
Gotti,R,Biography,4.7,Kevin Connolly,Leo Rossi,John Travolta,112
Gozu,R,Crime,7,Takashi Miike,Sakichi Sato,Yûta Sone,129
Grace of My Heart,R,Comedy,6.7,Allison Anders,Allison Anders,Illeana Douglas,116
Graduation Day,R,Horror,4.9,Herb Freed,Anne Marisse,Christopher George,96
Graffiti Bridge,PG-13,Drama,4.5,Prince,Prince,Prince,90
Gran Torino,R,Drama,8.1,Clint Eastwood,Nick Schenk,Clint Eastwood,116
Grand Canyon,R,Crime,6.9,Lawrence Kasdan,Lawrence Kasdan,Danny Glover,134
Grandma,R,Comedy,6.7,Paul Weitz,Paul Weitz,Lily Tomlin,79
Grandma's Boy,R,Comedy,7,Nicholaus Goossen,Barry Wernick,Allen Covert,94
"Grandview, U.S.A.",R,Drama,5.4,Randal Kleiser,Ken Hixon,Jamie Lee Curtis,97
Graveyard Shift,R,Horror,4.9,Ralph S. Singleton,Stephen King,David Andrews,89
Gravity,PG-13,Drama,7.7,Alfonso Cuarón,Alfonso Cuarón,Sandra Bullock,91
Grease 2,PG,Comedy,4.4,Patricia Birch,Ken Finkleman,Michelle Pfeiffer,115
Great Balls of Fire!,PG-13,Biography,6.2,Jim McBride,Myra Lewis,Dennis Quaid,108
Great Expectations,R,Drama,6.8,Alfonso Cuarón,Charles Dickens,Ethan Hawke,111
Great Expectations,PG-13,Drama,6.4,Mike Newell,David Nicholls,Toby Irvine,128
Greater,PG,Biography,7.3,David L. Hunt,Brian Reindl,Neal McDonough,130
Greedy,PG-13,Comedy,6.3,Jonathan Lynn,Lowell Ganz,Michael J. Fox,113
Green Book,PG-13,Biography,8.2,Peter Farrelly,Nick Vallelonga,Viggo Mortensen,130
Green Card,PG-13,Comedy,6.2,Peter Weir,Peter Weir,Gérard Depardieu,107
Green Lantern,PG-13,Action,5.5,Martin Campbell,Greg Berlanti,Ryan Reynolds,114
Green Room,R,Horror,7,Jeremy Saulnier,Jeremy Saulnier,Anton Yelchin,95
Green Street Hooligans,R,Crime,7.4,Lexi Alexander,Lexi Alexander,Elijah Wood,109
Green Zone,R,Action,6.8,Paul Greengrass,Brian Helgeland,Matt Damon,115
Greenberg,R,Comedy,6.1,Noah Baumbach,Jennifer Jason Leigh,Ben Stiller,107
Greenfingers,R,Comedy,6.8,Joel Hershman,Joel Hershman,Clive Owen,91
Gremlins,PG,Comedy,7.3,Joe Dante,Chris Columbus,Zach Galligan,106
Gremlins 2: The New Batch,PG-13,Comedy,6.4,Joe Dante,Chris Columbus,Zach Galligan,106
Greta,R,Drama,6,Neil Jordan,Ray Wright,Isabelle Huppert,98
"Greystoke: The Legend of Tarzan, Lord of the Apes",PG,Adventure,6.4,Hugh Hudson,Edgar Rice Burroughs,Christopher Lambert,143
Gridiron Gang,PG-13,Biography,6.9,Phil Joanou,Jeff Maguire,Dwayne Johnson,125
Gridlock'd,R,Comedy,6.9,Vondie Curtis-Hall,Vondie Curtis-Hall,Tupac Shakur,91
Grind,PG-13,Adventure,6,Casey La Scala,Ralph Sall,Adam Brody,105
Grindhouse,R,Action,7.5,Directors,Robert Rodriguez,Kurt Russell,191
Gringo,R,Action,6.1,Nash Edgerton,Anthony Tambakis,Joel Edgerton,111
Gross Anatomy,PG-13,Drama,6.1,Thom Eberhardt,Mark Spragg,Matthew Modine,109
Grosse Pointe Blank,R,Action,7.3,George Armitage,Tom Jankiewicz,John Cusack,107
Groundhog Day,PG,Comedy,8,Harold Ramis,Danny Rubin,Bill Murray,101
Grown Ups,PG-13,Comedy,5.9,Dennis Dugan,Adam Sandler,Adam Sandler,102
Grown Ups 2,PG-13,Comedy,5.4,Dennis Dugan,Fred Wolf,Adam Sandler,101
Grudge Match,PG-13,Comedy,6.4,Peter Segal,Tim Kelleher,Robert De Niro,113
Grumpier Old Men,PG-13,Comedy,6.7,Howard Deutch,Mark Steven Johnson,Walter Matthau,101
Grumpy Old Men,PG-13,Comedy,7,Donald Petrie,Mark Steven Johnson,Jack Lemmon,103
Guardians of the Galaxy,PG-13,Action,8,James Gunn,James Gunn,Chris Pratt,121
Guardians of the Galaxy Vol. 2,PG-13,Action,7.6,James Gunn,James Gunn,Chris Pratt,136
Guarding Tess,PG-13,Comedy,6.2,Hugh Wilson,Hugh Wilson,Shirley MacLaine,96
Guess Who,PG-13,Comedy,5.9,Kevin Rodney Sullivan,William Rose,Ashton Kutcher,105
Guilty as Sin,R,Crime,5.6,Sidney Lumet,Larry Cohen,Rebecca De Mornay,107
Guilty by Suspicion,PG-13,Drama,6.5,Irwin Winkler,Irwin Winkler,Robert De Niro,105
Gulliver's Travels,PG,Adventure,4.9,Rob Letterman,Joe Stillman,Jack Black,85
Gully Boy,Unrated,Drama,8,Zoya Akhtar,Zoya Akhtar,Vijay Varma,154
Gummo,R,Comedy,6.7,Harmony Korine,Harmony Korine,Nick Sutton,89
Gun Shy,R,Comedy,5.7,Eric Blakeney,Eric Blakeney,Liam Neeson,101
Guncrazy,R,Crime,5.5,Tamra Davis,Matthew Bright,Drew Barrymore,97
Gung Ho,PG-13,Comedy,6.3,Ron Howard,Edwin Blum,Michael Keaton,111
Gwendoline,R,Action,5.3,Just Jaeckin,Just Jaeckin,Tawny Kitaen,87
Gymkata,R,Action,4.4,Robert Clouse,Charles Robert Carner,Kurt Thomas,90
Hackers,PG-13,Comedy,6.2,Iain Softley,Rafael Moreu,Jonny Lee Miller,105
Hacksaw Ridge,R,Biography,8.1,Mel Gibson,Robert Schenkkan,Andrew Garfield,139
"Hail, Caesar!",PG-13,Comedy,6.3,Ethan Coen,Joel Coen,Josh Brolin,106
Hairspray,PG,Comedy,7,John Waters,John Waters,Sonny Bono,92
Hairspray,PG,Comedy,6.6,Adam Shankman,Leslie Dixon,John Travolta,117
Half Baked,R,Comedy,6.7,Tamra Davis,Dave Chappelle,Dave Chappelle,82
Half Moon Street,R,Drama,5.4,Bob Swaim,Edward Behr,Sigourney Weaver,90
Half Nelson,R,Drama,7.2,Ryan Fleck,Ryan Fleck,Ryan Gosling,106
Half Past Dead,PG-13,Action,4.6,Don Michael Paul,Don Michael Paul,Morris Chestnut,98
Hall Pass,R,Comedy,5.8,Bobby Farrelly,Pete Jones,Owen Wilson,105
Halloween,R,Horror,6.1,Rob Zombie,Rob Zombie,Scout Taylor-Compton,109
Halloween,R,Crime,6.5,David Gordon Green,John Carpenter,Jamie Lee Curtis,106
Halloween 4: The Return of Michael Myers,R,Horror,5.9,Dwight H. Little,Dhani Lipsius,Donald Pleasence,88
Halloween 5: The Revenge of Michael Myers,R,Horror,5.1,Dominique Othenin-Girard,John Carpenter,Donald Pleasence,96
Halloween H20: 20 Years Later,R,Horror,5.8,Steve Miner,Debra Hill,Jamie Lee Curtis,86
Halloween II,R,Horror,6.5,Rick Rosenthal,John Carpenter,Jamie Lee Curtis,92
Halloween II,R,Horror,4.8,Rob Zombie,Rob Zombie,Scout Taylor-Compton,105
Halloween III: Season of the Witch,R,Horror,5,Tommy Lee Wallace,Tommy Lee Wallace,Tom Atkins,98
Halloween: Resurrection,R,Horror,4,Rick Rosenthal,Debra Hill,Jamie Lee Curtis,94
Halloween: The Curse of Michael Myers,R,Horror,4.8,Joe Chappelle,Debra Hill,Donald Pleasence,87
Hamburger Hill,R,Action,6.7,John Irvin,James Carabatsos,Anthony Barrile,110
Hamlet,PG,Drama,6.7,Franco Zeffirelli,William Shakespeare,Mel Gibson,135
Hamlet,PG-13,Drama,7.7,Kenneth Branagh,William Shakespeare,Kenneth Branagh,242
Hamlet,R,Drama,6,Michael Almereyda,William Shakespeare,Ethan Hawke,112
Hammett,PG,Crime,6.5,Wim Wenders,Joe Gores,Frederic Forrest,97
Hampstead,PG-13,Comedy,6,Joel Hopkins,Robert Festinger,Lesley Manville,102
Hancock,PG-13,Action,6.4,Peter Berg,Vy Vincent Ngo,Will Smith,92
Hands of Stone,R,Biography,6.6,Jonathan Jakubowicz,Jonathan Jakubowicz,Edgar Ramírez,111
Hanging Up,PG-13,Comedy,4.9,Diane Keaton,Delia Ephron,Diane Keaton,94
Hanky Panky,PG,Action,5.6,Sidney Poitier,Henry Rosenbaum,Gene Wilder,110
Hanna,PG-13,Action,6.8,Joe Wright,Seth Lochhead,Saoirse Ronan,111
Hanna K.,R,Drama,6.3,Costa-Gavras,Franco Solinas,Jill Clayburgh,111
Hannah and Her Sisters,PG-13,Comedy,7.9,Woody Allen,Woody Allen,Mia Farrow,107
Hannah Montana: The Movie,G,Comedy,4.6,Peter Chelsom,Dan Berendsen,Miley Cyrus,102
Hannibal,R,Crime,6.8,Ridley Scott,Thomas Harris,Anthony Hopkins,131
Hannibal Rising,R,Action,6.2,Peter Webber,Thomas Harris,Gaspard Ulliel,121
Hansel & Gretel: Witch Hunters,R,Action,6.1,Tommy Wirkola,Tommy Wirkola,Jeremy Renner,88
Happily Ever After,G,Animation,5.6,John Howley,Martha Moran,Edward Asner,75
Happiness,Unrated,Comedy,7.7,Todd Solondz,Todd Solondz,Jane Adams,134
Happy Death Day,PG-13,Comedy,6.6,Christopher Landon,Scott Lobdell,Jessica Rothe,96
Happy Death Day 2U,PG-13,Comedy,6.2,Christopher Landon,Christopher Landon,Jessica Rothe,100
Happy Feet,PG,Animation,6.4,George Miller,George Miller,Elijah Wood,108
Happy Feet Two,PG,Animation,5.9,George Miller,George Miller,Elijah Wood,100
Happy Gilmore,PG-13,Comedy,7,Dennis Dugan,Tim Herlihy,Adam Sandler,92
Happy Together,Unrated,Drama,7.7,Kar-Wai Wong,Manuel Puig,Leslie Cheung,96
"Happy, Texas",PG-13,Comedy,6.3,Mark Illsley,Ed Stone,Jeremy Northam,98
Happy-Go-Lucky,R,Comedy,7,Mike Leigh,Mike Leigh,Sally Hawkins,118
Hard Candy,R,Drama,7.1,David Slade,Brian Nelson,Patrick Wilson,104
Hard Eight,R,Crime,7.2,Paul Thomas Anderson,Paul Thomas Anderson,Philip Baker Hall,101
Hard Rain,R,Action,5.9,Mikael Salomon,Graham Yost,Morgan Freeman,97
Hard Target,R,Action,6.2,John Woo,Chuck Pfarrer,Jean-Claude Van Damme,97
Hard to Kill,R,Action,5.8,Bruce Malmuth,Steven McKay,Steven Seagal,96
Hardball,R,Drama,6.4,Brian Robbins,Daniel Coyle,Keanu Reeves,106
Hardbodies,R,Comedy,4.9,Mark Griffiths,Steve Greene,Grant Cramer,88
Hardbodies 2,R,Comedy,3.2,Mark Griffiths,Mark Griffiths,James Karen,88
Hardcore Henry,R,Action,6.7,Ilya Naishuller,Ilya Naishuller,Sharlto Copley,96
Harlem Nights,R,Comedy,6.1,Eddie Murphy,Eddie Murphy,Eddie Murphy,116
Harley Davidson and the Marlboro Man,R,Action,6.1,Simon Wincer,Don Michael Paul,Mickey Rourke,98
Harold & Kumar Escape from Guantanamo Bay,R,Adventure,6.6,Jon Hurwitz,Jon Hurwitz,John Cho,114
Harold & Kumar Go to White Castle,R,Adventure,7,Danny Leiner,Jon Hurwitz,John Cho,88
Harriet the Spy,PG,Comedy,5.9,Bronwen Hughes,Louise Fitzhugh,Michelle Trachtenberg,100
Harrison's Flowers,R,Drama,7.1,Élie Chouraqui,Isabel Ellsen,Andie MacDowell,121
Harry and the Hendersons,PG,Comedy,6,William Dear,William Dear,John Lithgow,110
Harry Brown,R,Action,7.2,Daniel Barber,Gary Young,Michael Caine,103
Harry Potter and the Chamber of Secrets,PG,Adventure,7.4,Chris Columbus,J.K. Rowling,Daniel Radcliffe,161
Harry Potter and the Deathly Hallows: Part 1,PG-13,Adventure,7.7,David Yates,Steve Kloves,Daniel Radcliffe,146
Harry Potter and the Deathly Hallows: Part 2,PG-13,Adventure,8.1,David Yates,Steve Kloves,Daniel Radcliffe,130
Harry Potter and the Goblet of Fire,PG-13,Adventure,7.7,Mike Newell,Steve Kloves,Daniel Radcliffe,157
Harry Potter and the Half-Blood Prince,PG,Action,7.6,David Yates,Steve Kloves,Daniel Radcliffe,153
Harry Potter and the Order of the Phoenix,PG-13,Action,7.5,David Yates,Michael Goldenberg,Daniel Radcliffe,138
Harry Potter and the Prisoner of Azkaban,PG,Adventure,7.9,Alfonso Cuarón,J.K. Rowling,Daniel Radcliffe,142
Harry Potter and the Sorcerer's Stone,PG,Adventure,7.6,Chris Columbus,J.K. Rowling,Daniel Radcliffe,152
Harsh Times,R,Action,6.9,David Ayer,David Ayer,Christian Bale,116
Hart's War,R,Drama,6.3,Gregory Hoblit,John Katzenbach,Bruce Willis,125
Hatchet,R,Comedy,5.7,Adam Green,Adam Green,Kane Hodder,93
Hatchet II,R,Action,5.5,Adam Green,Adam Green,Danielle Harris,85
Haunted Honeymoon,PG,Comedy,5.7,Gene Wilder,Gene Wilder,Gene Wilder,82
Havana,R,Drama,6.1,Sydney Pollack,Judith Rascoe,Robert Redford,144
Haywire,R,Action,5.8,Steven Soderbergh,Lem Dobbs,Gina Carano,93
He Got Game,R,Drama,6.9,Spike Lee,Spike Lee,Denzel Washington,136
"He Said, She Said",PG-13,Comedy,5.6,Ken Kwapis,Brian Hohlfeld,Kevin Bacon,115
Head Above Water,PG-13,Comedy,6,Jim Wilson,Eirik Ildahl,Harvey Keitel,92
Head in the Clouds,R,Drama,6.6,John Duigan,John Duigan,Charlize Theron,132
Head of State,PG-13,Comedy,5.5,Chris Rock,Chris Rock,Chris Rock,95
Head Office,PG-13,Comedy,5.4,Ken Finkleman,Ken Finkleman,Judge Reinhold,90
Head Over Heels,PG-13,Comedy,5.5,Mark Waters,John J. Strauss,Monica Potter,86
Hear My Song,R,Comedy,7,Peter Chelsom,Peter Chelsom,Ned Beatty,104
Heart and Souls,PG-13,Comedy,7,Ron Underwood,Gregory Hansen,Robert Downey Jr.,104
Heart Condition,R,Comedy,5.6,James D. Parriott,James D. Parriott,Bob Hoskins,100
Heart Like a Wheel,PG,Biography,6.7,Jonathan Kaplan,Ken Friedman,Bonnie Bedelia,113
Heart of Dixie,PG,Drama,5.2,Martin Davidson,Anne Rivers Siddons,Ally Sheedy,95
Heart of Midnight,R,Drama,5.4,Matthew Chapman,Matthew Chapman,Jennifer Jason Leigh,93
Heartbeeps,PG,Comedy,4.3,Allan Arkush,John Hill,Andy Kaufman,78
Heartbreak Hotel,PG-13,Comedy,5.7,Chris Columbus,Chris Columbus,David Keith,97
Heartbreak Ridge,R,Drama,6.9,Clint Eastwood,James Carabatsos,Clint Eastwood,130
Heartbreakers,R,Drama,5.9,Bobby Roth,Bobby Roth,Peter Coyote,98
Heartbreakers,PG-13,Comedy,6.2,David Mirkin,Robert Dunn,Sigourney Weaver,123
Heartburn,R,Comedy,6.1,Mike Nichols,Nora Ephron,Meryl Streep,108
Hearts in Atlantis,PG-13,Drama,6.9,Scott Hicks,Stephen King,Anthony Hopkins,101
Heat,R,Action,5.6,Dick Richards,William Goldman,Burt Reynolds,101
Heat,R,Crime,8.2,Michael Mann,Michael Mann,Al Pacino,170
Heat and Dust,R,Drama,6.6,James Ivory,Ruth Prawer Jhabvala,Julie Christie,130
Heathers,R,Comedy,7.2,Michael Lehmann,Daniel Waters,Winona Ryder,103
Heaven,R,Crime,7,Tom Tykwer,Krzysztof Kieslowski,Cate Blanchett,97
Heaven & Earth,R,Action,6.8,Oliver Stone,Le Ly Hayslip,Hiep Thi Le,140
Heaven and Earth,PG-13,Action,7,Haruki Kadokawa,Haruki Kadokawa,Takaaki Enoki,125
Heaven Help Us,R,Comedy,6.9,Michael Dinner,Charles Purpura,Donald Sutherland,104
Heaven Is for Real,PG,Biography,5.8,Randall Wallace,Randall Wallace,Greg Kinnear,99
Heaven Knows What,R,Crime,6.8,Benny Safdie,Arielle Holmes,Arielle Holmes,97
Heavenly Bodies,R,Drama,5.2,Lawrence Dane,Lawrence Dane,Cynthia Dale,90
Heavenly Creatures,R,Biography,7.3,Peter Jackson,Fran Walsh,Melanie Lynskey,99
Heaven's Gate,R,Adventure,6.8,Michael Cimino,Michael Cimino,Kris Kristofferson,219
Heaven's Prisoners,R,Drama,5.8,Phil Joanou,James Lee Burke,Alec Baldwin,132
Heavy,R,Drama,6.8,James Mangold,James Mangold,Pruitt Taylor Vince,105
Heavyweights,PG,Comedy,6.6,Steven Brill,Judd Apatow,Tom McGowan,100
Hector and the Search for Happiness,R,Adventure,7,Peter Chelsom,Maria von Heland,Simon Pegg,114
Hedwig and the Angry Inch,R,Comedy,7.7,John Cameron Mitchell,John Cameron Mitchell,John Cameron Mitchell,95
Heidi's Song,G,Animation,6.3,Robert Taylor,Joseph Barbera,Lorne Greene,94
Heist,R,Action,6.5,David Mamet,David Mamet,Gene Hackman,109
Hell Fest,R,Horror,5.5,Gregory Plotkin,Seth M. Sherwood,Cynthea Mercado,89
Hell or High Water,R,Action,7.6,David Mackenzie,Taylor Sheridan,Chris Pine,102
Hell Ride,R,Action,5.1,Larry Bishop,Larry Bishop,Larry Bishop,84
Hellbound: Hellraiser II,R,Horror,6.5,Tony Randel,Peter Atkins,Doug Bradley,97
Hellboy,PG-13,Action,6.8,Guillermo del Toro,Guillermo del Toro,Ron Perlman,122
Hellboy,R,Action,5.2,Neil Marshall,Andrew Cosby,David Harbour,120
Hellboy II: the Golden Army,PG-13,Action,7,Guillermo del Toro,Guillermo del Toro,Ron Perlman,120
Hello Again,PG,Comedy,5.3,Frank Perry,Susan Isaacs,Shelley Long,96
"Hello, My Name Is Doris",R,Comedy,6.6,Michael Showalter,Laura Terruso,Sally Field,90
Hellraiser,R,Horror,7,Clive Barker,Clive Barker,Andrew Robinson,94
Hellraiser III: Hell on Earth,R,Horror,5.5,Anthony Hickox,Peter Atkins,Terry Farrell,97
Hellraiser: Bloodline,R,Horror,5.1,Director,Peter Atkins,Bruce Ramsay,85
Hell's Kitchen,R,Crime,4.7,Tony Cinciripini,Tony Cinciripini,Rosanna Arquette,95
He-Man and She-Ra: The Secret of the Sword,G,Animation,7.3,Directors,Larry DiTillio,John Erwin,100
Henry & June,NC-17,Biography,6.3,Philip Kaufman,Anaïs Nin,Fred Ward,136
Henry V,PG-13,Action,7.5,Kenneth Branagh,William Shakespeare,Kenneth Branagh,137
Henry: Portrait of a Serial Killer,Unrated,Biography,7,John McNaughton,Richard Fire,Michael Rooker,83
Henry's Crime,R,Comedy,6,Malcolm Venville,Sacha Gervasi,Keanu Reeves,108
Her,R,Drama,8,Spike Jonze,Spike Jonze,Joaquin Phoenix,126
Her Alibi,PG,Comedy,5.8,Bruce Beresford,Charlie Peters,Tom Selleck,94
Herbie Fully Loaded,G,Adventure,4.8,Angela Robinson,Thomas Lennon,Lindsay Lohan,101
Herbie Goes Bananas,G,Adventure,5,Vincent McEveety,Don Tait,Charles Martin Smith,100
Hercules,PG,Adventure,4,Luigi Cozzi,Luigi Cozzi,Lou Ferrigno,98
Hercules,G,Animation,7.3,Ron Clements,Ron Clements,Tate Donovan,93
Hercules,PG-13,Action,6,Brett Ratner,Ryan J. Condal,Dwayne Johnson,98
Here Come the Littles,G,Animation,6.9,Bernard Deyriès,Heywood Kling,Jimmy Keegan,72
Here Comes the Boom,PG,Action,6.4,Frank Coraci,Allan Loeb,Kevin James,105
